Sentence,Emoji
他喝光了熱咖啡，看他喝得甜嘴巴舌的樣子,☕
冬日一杯熱暖的飲品，溫暖了誰冷漠的心靈？,☕
夜寒生酒思，曉雪引詩情。熱飲一兩盞，冷吟三五聲。,☕
一杯茶，品人生沉浮；平常心，造萬年世界。,☕
無論風雨，願有一杯熱茶等你，願等你的茶，永遠溫熱。,☕
鶯歌蝶舞韶光長，紅爐煮茗松花香。,☕
白茶清歡無別事，我在等風也等你。,☕
生活就是春水煮茶，清新悠遠，淡雅芬芳。,☕
擇一處清幽，斟一盞芳茗，看天高雲淡，聽風聲濤聲。,☕
人與人的相遇，是久別重逢，人與茶的邂逅，是前世今生。,☕
生活有茶香，靈魂有茶氣。,☕
半山一盞茶，靜心觀萬物。,☕
聽到雷聲，我家貓咪嚇得躲到被窩裡,⚡
在城市裡看到閃電，簡直是大自然的煙火,⚡
今天雷聲好大，我超怕啦,⚡
他的能力真是電神級別,⚡
打雷的聲音好大聲，嚇到我了,⚡
天空突然閃耀著閃電，讓人驚嘆不已,⚡
雷聲轟隆，窗外閃電劃破夜空，好震撼,⚡
他實在太厲害了，簡直是電神,⚡
這場暴雨中的閃電真是令人驚嘆,⚡
伴隨著一聲巨響閃電劃破天際，展現大自然的威力,⚡
你是電神,⚡
你是電你是光你是唯一的神話,⚡
他的點子真是電光火石,⚡
晴天霹靂，閃電划破天際，留下璀璨光影,⚡
遠處的雷雨正在靠近，天空中的閃電越來越頻繁,⚡
天際閃耀著電光，雷聲驚醒，夜色幽深,⚡
雷聲與閃電交錯，猶如自然界的交響樂,⚡
天氣預報說最近都是雷雨天氣，窗外的閃電光影像是天空的煙火,⚡
雷聲與閃電交織成一幅奇幻的畫面,⚡
一道閃電忽然劃破夜空，彷彿是上帝在畫一道美麗的閃光,⚡
轟隆隆隆的雷聲隨著風潮，如樂章奏鳴,⚡
我軍挾雷霆萬鈞之勢，攻破敵方陣地。,⚡
在古希臘和古羅馬等文明古國，打雷被認為是上蒼發怒的表現。,⚡
耶和華也在天上打雷。 至高者發出聲音，便有冰雹火炭。,⚡
逃過了打雷，遇上了閃電。,⚡
天空中雲層放電時發出巨大響聲。,⚡
一年前的那天晚上，又是閃電又是打雷，雷聲非常響亮。全家都很害怕，可是我非常喜歡閃電。,⚡
突然，閃電現身了，放射出更加強烈的光芒，如一利斧，劈開了雲霧！,⚡
一道道閃電騰空而起直沖雲霄，他們一定是想要照亮整個大地，可是黑暗並沒有退卻，閃電以失敗告終。,⚡
空中不時發出的轟隆隆的雷聲。,⚡
沉寂的雲層再度吐出一片耀眼到慘烈的火光，炸雷響起，在群山中久久回蕩。,⚡
過了一會兒，電光一閃又一閃，驚雷一個又一個，把大地震得發抖，天空也被嚇得直哭。,⚡
閃電刺眼，如利劍劃破蒼彎。巨雷轟鳴，好似整個大地都在顫抖。,⚡
一道閃電像一支離弦之箭直射天空，在夜空裡勾畫出一道美麗的折線。轉瞬間，天昏地暗，大地又重新回到了黑暗之中。,⚡
閃電像一位魔術大師，在天邊賣弄著各種色彩，看地我眼花繚亂。,⚡
終於，閃電像一把利劍，劃破了天空。從雲間一路奔下，直到天的邊緣。霎時，電光石火照亮了哭泣的天空。,⚡
此時我坐在教室裡，聽到的雷聲像接力一樣，在前一個衰竭時，總有更強的一個來延續它的輝煌。,⚡
傾刻間，閃電亂揮，這兒一道，那兒一道，煞是怕人，雷聲像爆炸似的轟隆隆地響起。,⚡
閃電好似曇花，曇花一開就謝了，而閃電也是一樣。,⚡
天空中又是一道閃電，接著又是一聲隆隆的雷響，閃電越來越多，如同末日一樣。,⚡
我慶幸我不怕打雷閃電。,⚡
光速比音速快，所以打雷時會先看到閃電再聽到雷聲。,⚡
古人認爲天上打雷，就是雷公發怒。,⚡
熟睡的他發出的鼾聲像打雷一樣響亮。,⚡
我的成績這麼差，幾次讓爸爸惱怒得跳腳呼喊像打雷一樣。,⚡
那一刻，我如同遭到天打雷轟，幾乎無法站立。,⚡
閃電光中賓主分，虛空背上立網宗。,⚡
閃電光中加霹靂。,⚡
囂喧閃電蕃營亂，陣算回風虜帳寒。,⚡
千蹄撇過在頃刻，閃電飛星不留跡。,⚡
在公園裡和小朋友踢足球，大家一起歡笑,⚽
英國人在足球場上的技術真的是一流，看得讓人讚嘆,⚽
足球比賽中進球，獲得勝利,⚽
看一場足球比賽，氣氛熱烈，球場上的激情令人難以忘懷,⚽
在草地上踢足球是一種享受,⚽
和摯友一起參加了一場足球比賽，運動量十足。,⚽
我超愛看英國人踢足球，他們的技術真的是一流的！,⚽
足球比賽現場的氛圍總是讓我興奮不已,⚽
對我而言，踢足球讓我感到無比快樂，每一次進球都是一種享受,⚽
夜晚踢足球是一種享受,⚽
下週我們要一起踢足球喔,⚽
贏得了足球比賽後，我們一群人歡呼著，這是我們共同的榮耀時刻,⚽
這次足球比賽中，我們的隊伍表現出色，最終贏得了冠軍寶座,⚽
高中參加了足球社，足球場上的歡笑和淚水共同譜寫著我們的故事，無悔追夢,⚽
我從小就有在踢球，足球是我生活中不可或缺的一部分,⚽
在公園和小朋友一起踢足球，他們的活力真是讓人感到年輕,⚽
踢足球是我最愛的運動方式之一，感受著風吹過臉龐的舒暢,⚽
在上週我參加了一場足球比賽，成功阻止了對方的進攻，感覺非常棒,⚽
踢足球讓我感受到身心的釋放，每一場比賽都是一種享受,⚽
人生就像這個足球場。把人生的精彩之球踢進成功的球門，得分，喝彩，掌聲，鮮花。,⚽
盤帶過人怒射，冷靜面對門將，進球不是夢想，敢拼就有希望。世界足球日，讓汗水在球場揮灑，讓青春在賽場飛揚！,⚽
踢足球不僅樂趣多，而且對身體鍛鍊很有好處。一項最新研究顯示，踢足球比慢跑更有利於減肥和鍛鍊肌肉。,⚽
足球場上沒有弱隊，只有強大的人心和無畏的精神。,⚽
足球運動，是連接世界各地人民的橋樑。,⚽
在落後的情況下，足球運動員必須擁有堅韌不拔的毅力和永不放棄的信念。,⚽
一場足球比賽，像一場戰爭，每個球員都必須全力以赴，爲勝利而戰。,⚽
足球是一項需要團隊協作的運動，沒有一個人能打敗整個對手，只有團隊纔可以獲得勝利。,⚽
足球比賽不僅是一項競技活動，也是一項社交活動，讓球員和球迷可以相互交流和溝通。,⚽
在足球場上，最受歡迎的瞬間之一就是進球破門，這個瞬間會讓球員和球迷們陶醉其中。,⚽
在過外，足球運動不僅是一項競技運動，更是一種文化和精神。,⚽
球滾到我的腳下，我心中很想踢，但是一想足球在我心中的烙印，就一眼也不想看爸爸踢足球了。,⚽
我從小就學習踢足球，足球是一項激烈而又頑強的競技運動，它教導我們立志向上，永不放棄的精神。,⚽
對許多人來說，足球是一種文化，也是一種信仰，可以帶給人們無窮的快樂和啓示。,⚽
足球運動不分年齡、性別、種族和背景，是一個真正平等和開放的運動。,⚽
我方開球。我接過別人傳來的足球，用腳帶着往前跑。很快，我就把足球帶到了對方的球門區域。,⚽
世界足球日，踢出精彩足球，射門得分，走過幸福人生，快樂開心！,⚽
直到遇到足球，我的人生徹底改變，我很記得我第一個足球的樣子，在我心裏，它就像一顆糖果。,⚽
一年一度的秋季足球比賽開始了。,⚽
球正好向我這飛來。我立刻去把球攔下。可是，這一隻足球卻怪得很，我一個撲空，它就向我方的球門飛了進去。,⚽
對於一個足球運動員來講，最重要的是踢好每場球，在球場上應該具備良好的體育道德。,⚽
踢一場足球，鍛鍊了身體。激發了活力，昂揚了鬥志。來一場比賽，投入了全心。凝聚了力量，增進了合作。,⚽
在綠草如茵的育才體育館足球場舉行了一次別開生面的足球比賽。,⚽
來吧，用矯健的身姿飛動，攜同昂揚的鬥志，奔跑在廣闊的草場，將快樂的足球射進幸福的門內。,⚽
雖然這次比賽我們班輸了，但我卻毫不灰心，因爲我體驗到了足球那無窮的魅力，我喜歡上了踢足球。,⚽
對於一個將足球視爲生命的男人來說，世界盃就像是他的初戀情人。,⚽
我們會在拼搶時摔倒，但是都不會覺得痛，站起來繼續踢，因爲我們熱愛足球，那是我們渴望的夢。,⚽
他們先發球。一個人向我們一方踢了一下足球。球立刻向我們這一方飛來。,⚽
一個足球隊就像一部機器，只有每個部件都運轉起來，才能收到最大的效果。,⚽
沒有紙醉金迷，只有自強不息。沒有萎靡不振，只有足球情深。,⚽
踢去憂愁，踢出開心；踢走煩惱，踢來快樂；舞動足球，健康幸福。,⚽
上完棒球課，我對挥棒的技巧有了更深刻的理解，真的很有趣,⚾
今天晚上要和朋友去看棒球賽,⚾
明天的棒球比賽勝負懸念重重,⚾
和朋友一起打棒球真的太好玩,⚾
棒球比賽全壘打，太帥了！,⚾
對我而言，棒球比賽是一場團隊合作的表演，每個人都發揮著最佳水平,⚾
比賽中擊出全壘打贏得勝利，隊友歡呼,⚾
感謝老師教我們打棒球的技巧，現在對這項運動更有興趣了,⚾
每當看到棒球老師在球場上指導，我就覺得這是一場美好的表演,⚾
棒球比賽中的激情令人沉醉,⚾
我們國家的棒球隊實力強大，不容小覷,⚾
昨晚的棒球比賽中，我們擊敗了強敵,⚾
棒球比賽的最後一局，我的二壘安打讓我們成功逆襲，取得了勝利,⚾
棒球比賽真的好想贏韓國,⚾
棒球是我們國家的榮耀，為這份榮耀努力拼搏是我的驕傲,⚾
每一場棒球比賽都是一場豐富多彩的冒險，充滿未知的期待,⚾
投手可以說是一隻棒球隊的靈魂人物,⚾
國球棒球在我心中有著特殊的地位，是一種誇耀,⚾
今天開始打棒球訓練,⚾
今晚，我們將在球場上燃起熱情，為棒球隊加油助威,⚾
老師教我們打棒球的技巧，我現在對棒球更感興趣了,⚾
在以前，野球和棒球是指同樣的東西。,⚾
最後第四號選手在棒球場上全力一擊，得分,⚾
因為有最好和最壞，我的棒球人生才精采。,⚾
我可以看出投手站在投手丘上是自信還是畏懼。,⚾
我唯一休息的日子，就是投球的那一天。,⚾
你一輩子當中花了很長一段時間抓著棒球，然後最後才會發現其實是反過來的。,⚾
如果一個女人必須選擇救一個嬰兒和接一顆高飛球，她一定會選擇救那個嬰兒，而完全不管還有跑者在壘上。,⚾
有人問我冬天沒有棒球可以打，我都在做些什麼。,⚾
棒球是唯一一種人們可以十次只成功三次卻被認為是好選手的活動。,⚾
在我生命之中有三樣東西我非常熱愛：神、我的家庭、和棒球。,⚾
棒球是我所知道唯一一種當你負責進攻時，球卻在對手手上的運動。,⚾
他的直球實在太快，有些打者在他走到投手丘之前就開始揮棒了。,⚾
自從我不再試圖讓打者打不到我的球，而是故意讓他們打到我的球，我才開始變成一個好投手。,⚾
就像有人說的，棒球只是個遊戲，沒錯。大峽谷也只是亞利桑納州的一個洞而已。,⚾
投手，就像詩人，是天生而無法造就的。,⚾
要抓到一顆蝴蝶球最好的方法就是等球停止轉動然後走過去撿起來。,⚾
對一個投手來說，安打是負面回饋的最佳範例。,⚾
棒球是唯一人們可以玩的運動了。,⚾
投球的藝術就是灌輸恐懼感到打者身上。,⚾
我正在努力發展一種新球路。它的名稱叫好球。,⚾
我想要當大聯盟球員，接到高飛球是一件快樂的事。,⚾
在棒球你只有五件事可以做 – 跑、投、接、打，還有用力打。,⚾
每次我手裡拎著一根球棒走到打擊區時，我就是無法不對那個投手感到同情。,⚾
這個冬天我一直在對著牆壁投球練習。我對牆壁已經11勝0敗了。,⚾
我寧可打全壘打。這樣跑壘時就不用衝那麼快了。,⚾
我那時候就立刻知道我的職棒生涯結束了。,⚾
棒球迷們是吸毒者，而他們的海洛因就是棒球數據。,⚾
棒球的運動成分太多了，所以很難被說成商業行為，而商業的成分也太多了，所以也很難說是種運動。,⚾
棒球一如人生，除了數據與勝負，有更多值得反思與體悟的歷程啟發,⚾
北海道的雪好柔軟，堆雪人超開心,⛄
雪人好可愛,⛄
雪花飄落的感覺真是浪漫，堆個雪人吧,⛄
雪人的笑容真是溫暖人心,⛄
初冬的早晨，白雪覆蓋了整片田野，非常適合堆雪人,⛄
雪地裡玩耍，堆雪人真是有趣,⛄
雪花飄舞，要不要一起打造一個雪人？,⛄
今天門外的雪真的好厚，堆雪人好有趣,⛄
雪人過冬天真是最快樂的,⛄
是誰把雪人堆得像個小胖子,⛄
庭院中雪人手中的紅色禮物，散發溫暖的氛圍,⛄
雪人的手臂向著天空舉起，仿佛在歡呼,⛄
故事中的雪人在雪地裡玩耍，好像一群快樂的小精靈,⛄
照片中的雪人宛如冬季童話故事中的主角,⛄
新雪人造型簡直是人間仙境，太可愛了,⛄
這隻雪人的眼神好像在說：「快來和我一起玩吧！」,⛄
這個雪人的設計太巧妙了，每一個雪球都有它的特色,⛄
下雪的日子最適合堆雪人,⛄
外頭下雪了，快去堆雪人吧,⛄
一些早期的明信片中畫著雪人被孩子們用棍子擊打然後踩扁的場景。,⛄
我喜歡下雪，因為我喜歡堆雪人。,⛄
我們去堆雪人，但還未堆完一半時，我已感到寒氣刺骨了。,⛄
我們來用這些為雪人做一張微笑的嘴吧。,⛄
我和我最好的朋友在這裏堆雪人打雪仗。,⛄
這些雪人為什麼還長著翅膀？,⛄
今天到處都白了. 我們可以堆雪人。,⛄
雪人的這種形象很快就變得炙手可熱了。,⛄
這里的傳統是在蒸桑拿之后跑到外面去堆一個雪人。,⛄
雪人很可愛，大人們看見了都夸獎了我們。,⛄
我們一起有了一個漂亮的雪人。,⛄
接著現在按一下這兩個樹枝給雪人臂膀。,⛄
通過我和爸爸的努力，一個漂亮的雪人做好了。,⛄
一個胖乎乎又可愛的小雪人就呈現在我們眼前了。瞧，它正調皮地衝我們笑呢。,⛄
我又跑回家拿來自己的紅領巾系在雪人的脖子上，模樣可愛極了！,⛄
打雪仗堆雪人一個不落！而且踩冰沙的感覺真爽。,⛄
想去北方看雪，在鵝毛大雪中跳舞，在雪地裏奔跑、打雪仗、堆雪人。,⛄
對於南方的你現在一定很想和我一起堆雪人打雪仗。,⛄
北京初雪，帶兒子打打雪仗，堆堆雪人，陪兒子玩鬧。,⛄
冬天，我們整個世界都被雪覆蓋了，所以我們可以堆雪人或者打雪仗。,⛄
出去堆雪人，用胡蘿卜、棍子、雪、帽子、紐扣和一條圍巾來做一個雪人。,⛄
那年雪里一起堆雪人，打雪仗。,⛄
我最喜歡冬天，因為我喜歡雪，我喜歡和夥伴們堆雪人。,⛄
沒有雪的冬天是枯燥無味的，沒有了堆雪人打雪仗的勝景。,⛄
這個男孩正在堆雪人。,⛄
我更喜歡冬天。當下雪的時候，我就可以堆雪人了。,⛄
你知道，冬天我可以滑冰、滑雪，還可以堆雪人。,⛄
今天到處都白了，我們可以堆雪人。,⛄
明天如果下雪，我們就堆雪人。,⛄
雪人看起來真的太可愛了,⛄
雪人是最能代表冬天的事物,⛄
雲層瀰漫，陽光被柔和地過濾著,⛅
天空灰濛濛，彷彿藏著一個秘密,⛅
雲層中的陽光，如同柔和的畫筆，溫柔地描繪,⛅
太陽公公露臉，是不是該找個地方遮陽,⛅
陽光灑在雲朵上，彩色的光環彷彿仙境一般,⛅
雲層密佈，太陽躲在厚厚的雲朵後面,⛅
白天多雲，陽光穿透雲層灑在大地,⛅
陰雨綿綿，灰濛濛的天空有些低沉,⛅
雲朵悠悠，好像在悠閒地漫遊在藍天中,⛅
陰天的天氣，彷彿是大自然的沉思,⛅
晴時多雲，不會到太熱，是個戶外活動的好日子,⛅
今天天氣晴時多雲，彩雲翩翩起舞,⛅
天空中雲朵飄動，陽光和煦，心情愉悅,⛅
雲層中飄動的白朵，悠閒地遊走在天際,⛅
今天是個陰天，我好想見到陽光。,⛅
陽光透過雲層灑落，天空變得明亮起來,⛅
白雲悠悠，像是天空的一群遊客,⛅
今天天氣晴時多雲，適合戶外活動,⛅
雲散天晴，陽光灑在大地上，溫暖愜意,⛅
雲層散去，太陽露出笑臉，給人一天的溫暖,⛅
雲散天晴，陽光灑在大地上，讓人感到心曠神怡,⛅
天空灰蒙蒙的，像是在思考著什麼,⛅
陰天轉晴，太陽露出笑臉，好像整個世界都變亮了,⛅
雲朵悠悠，太陽害羞地躲在雲層後面,⛅
今天天氣雲淡風輕，宛如畫中景,⛅
最近這記個禮拜天氣都是多雲時晴，彷彿在漫舞的雲彩中,⛅
這幾天都是多雲的日子，陰影斑駁,⛅
白雲飄過，彷彿在天空中留下一幅幅畫,⛅
雲朵翻滾，陽光在雲海中若隱若現,⛅
陰霾籠罩，陽光無法穿透濃密的雲層,⛅
雲層低垂，今天的天氣是一片灰蒙蒙的陰天,⛅
陰天的天氣，彷彿大地正在梳理自己的情緒,⛅
天氣晴朗溫暖，降雨較多。,⛅
在你的情緒陰晴表上，晴轉多雲短時陣風有時陣雨的居多。,⛅
絲毫沒有注意到天上的烏雲，似乎又漸漸變多了，藍天就要被烏雲密怖的天空取代了！,⛅
上午大多為晴到多雲的天氣。,⛅
雖然今天是個多雲的天氣，還飄著細小的雨滴，卻剛好沒有遮擋住陽光。,⛅
此時多雲，天光漫射在每一吋花田裡。,⛅
今天是陰天，灰灰的天讓人的心情也不舒服。,⛅
夏的陰天，太濃，太沉重，整個天空彷彿失重的天平；春秋的陰天，過的似乎沒有印象，不過是一季中輕描淡寫的一筆。,⛅
陰天沒有晴天的明朗，卻依然明亮；陰天沒有雨天的纏綿，卻也朦朧。,⛅
天色漸晚，灰色陰涼的氣息在哪孤獨的樹葉雜草之間徘徊。,⛅
一直不喜歡陰天，灰濛濛的天空就像模糊了的眼睛，透露給我的永遠是迷惘。,⛅
沒有陰氣沉沉的陰天，哪來的狂風暴雨，天晴雨過又從何而來呢？,⛅
陰天，總有種失落的感覺，心情也隨之下沉。,⛅
配上陰陰的天氣、陣陣的涼風，很舒服，讓人清醒。,⛅
天放晴了幾個小時。,⛅
天空放晴了，陽光照到的地方，都會有我們的回憶。,⛅
今天早上天氣還陰沉沉的，可現在已經放晴了。,⛅
雨季不結束天不會放晴。,⛅
教堂婚禮場景美,⛪
在教堂參加婚禮是浪漫的體驗,⛪
參加教堂儀式祈禱,⛪
教堂參與宗教儀禮,⛪
在教堂參加了一場感人的婚禮,⛪
教堂裡的音樂讓人心靈寧靜,⛪
參與教堂合唱團,⛪
我喜歡在教堂感受到心靈的寧靜,⛪
禮拜天是我每週最期待去教堂做禮拜的日子,⛪
我每週天都會在教堂與社區一同參與儀式,⛪
教堂室內莊嚴肅穆,⛪
教堂的鐘聲每天都會響起,⛪
昨天晚上在城市廣場上見到了一座古老的教堂,⛪
每週日我都會去教堂參與社區活動,⛪
在國外大教堂的彩色玻璃窗令人印象深刻,⛪
這一座教堂的古老樑柱散發著濃厚的歷史氛圍,⛪
這座古老的教堂已經有三百年歷史,⛪
在教堂的婚禮上，我見證了一對新人的幸福時刻,⛪
城市的黃昏時分，我喜歡在教堂前散步,⛪
教堂中傳出的聖歌總是讓人心靈寧靜,⛪
彩繪玻璃門散發著繽紛光彩，是教堂的特色之一,⛪
在城市的角落發現了一座古老的教堂,⛪
我每週日都會和家人一同參加教堂禮拜,⛪
這座教堂的建築風格非常宏偉,⛪
在教堂的音樂會上，我感受到了神聖的氛圍,⛪
每週天我都會去參加教堂活動,⛪
每週日我都會在教堂度過一段寧靜的時光,⛪
教堂內的聖歌令人心靈寧靜,⛪
教堂的建築風格充滿藝術氣息,⛪
我喜歡在教堂里靜靜地祈禱，感覺很平靜,⛪
教堂舉行愛樂音樂會,⛪
這座教堂的建築風格很特別，每次經過都被吸引,⛪
在這個城市裡，你總能找到一座漂亮的教堂,⛪
這座教堂的建築風格很特別，每次經過都被吸引,⛪
週日一家人總是去教堂參拜,⛪
禮拜日我習慣去教堂參與宗教活動,⛪
